field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9,field_10,field_11,field_12,field_13,field_14,field_15,field_16,field_17,field_18,field_19,field_20,field_21,field_22,field_23,field_24
KMB-WAT-001,KMB-WAT-001,Kiambu,Bathi River,5/12/2011,2/18/2014,Upstream agricultural barrier constructions cut off seasonal flows.,Water,Allocation Dispute,Smallholder Farmers vs. Upstream Abstractors,"Unauthorized abstraction structures and un-permitted dams caused severe sediment loads down the Bathi stream ecosystem, sparking community clashes.",University of Copenhagen,https://sluse.dk/project/kenya_Conflict_potential_over_water_resources_bathi_river_kiambu_county.pdf,Academic Field Registry,-1.1342,36.6821,"0","0",WRA Regulation,Resolved via shared guidelines,,,,
KMB-WAT-002,KMB-WAT-002,Kiambu,Matimbei / Lari,6/10/2023,11/15/2024,Localized community management faced administrative friction over national asset alignment.,Water,Community Supply Rift,Matimbei Water Committees vs. Institutional UWSP,Tensions arose within Matimbei over the centralized transition of local micro-water projects under the regional regulatory framework and structural public integration plans.,Facebook,https://www.facebook.com/violet.matiru/posts/claimyourwaterrightsin-2024-the-matimbei-community-reclaimed-their-water-project/10231505096864765/,Academic Monograph,-0.9854,36.6521,"0","0",WASREB Review,Alternative Dispute Resolution,,,,
KMB-LND-003,KMB-LND-003,Kiambu,Gatundu,5/10/1979,7/24/2019,40-year multi-generational plot battle causing high risk of local evictions.,Land,Succession Standoff,Estate Beneficiaries vs. Alleged Illegal Claimants,"Bitter, long-standing family succession litigation over permanent agricultural land blocks resulting in physical asset blockades and contested county titles.",High Court of Kenya,https://ai.juribase.com/docs/251677/KEHC/2019/July/KEHC-2019-5473.pdf,Judicial Case Registry,-1.0124,36.9015,"0","12",Court Ruling,Settled by Decree Execution,,,,
KMB-WAT-004,KMB-WAT-004,Kiambu,Ruiru & Ndarugu,1/15/2018,12/20/2021,Intensive agricultural and urban land-use conversion degraded river basins.,Water,Riparian Encroachment,Private Agriculturalists vs. Catchment Protection,Spatial land-use conversion along the Ruiru and Ndarugu River catchments sparked local eco-tensions as point and non-point source pollution dropped water quality.,AJEST Journals,https://academicjournals.org/journal/AJEST/article-full-text/B3837E465191,Remote Sensing / GIS Journal,-1.139,36.964,"0","0",NEMA Enforcement,Ongoing Monitoring,,,,
KMB-WAT-005,KMB-WAT-005,Kiambu,Limuru / Manguo,10/13/2021,4/5/2023,Drying of Manguo swamp triggered spatial boundary trust disputes.,Water,Wetland Degradation,Conservation Groups vs. Farming Encroachers,Intense drought coupled with overgrazing and systematic farming expansion inside the critical Manguo swamp footprint led to a community resource standoff.,Mongabay News,https://news.mongabay.com/2023/04/drying-wetlands-and-drought-threaten-water-supplies-in-kenyas-kiambu-county/,International Press Archive,-1.112,36.634,"0","0",Public Grievance,Ongoing Mediation,,,,
KMB-WAT-006,KMB-WAT-006,Kiambu,Lari / Kinale,4/20/2019,10/13/2021,Barbed wire fencing of internal river headwaters forced a security sweep.,Water,Catchment Protection,County Water Wardens vs. Encroaching Squatters,"Private individuals cleared indigenous sub-catchment vegetation and fenced sections of the Gatamaiyu and Bathi River sources, altering downstream volume.",The Star Newspaper,https://www.the-star.co.ke/news/2021-10-13-kiambu-raises-the-alarm-over-destruction-of-water-sources,National Press Archive,-0.941,36.691,"0","0",Enforcement Audit,Executive Interdict Issued,,,,
KMB-WAT-007,KMB-WAT-007,Kiambu,Juja / Ndarugu,2/11/2023,2/16/2023,Structural sandbag dams by upstream flower farms dried out lower channels.,Water,Commercial Abstraction,Downstream Residents vs. Commercial Agribusiness,Angry local youths and village administrators used physical force to dismantle un-permitted concrete and sandbag river diversions feeding flower projects.,People Daily Digital,https://peopledaily.digital/news/juja-residents-clash-over-water,National Press Archive,-1.1022,37.014,"0","0",Local Admin Intervention,Settled via Rationing Matrix,,,,
KMB-WAT-008,KMB-WAT-008,Kiambu,Thika Sub-County,3/14/2024,5/15/2026,High-rise urban expansion outpaced available daily pipeline capacities.,Water,Infrastructure Deficit,Municipal Consumers vs. Water Allocation Board,"Structural public pressure mounted on municipal providers over a massive 20,000 cubic meter daily deficit caused by intensive commercial and residential building.",KBC National News,https://www.youtube.com/watch?app=desktop&v=AXAgmr6_pr4,Broadcast Media Archive,-1.0396,37.0901,"0","0",Infrastructure Planning,Capital Restructuring,,,,
KMB-LND-009,KMB-LND-009,Kiambu,Paradise Lost,4/13/2026,5/26/2026,Armed group trespasses on family-owned eco-tourism and agricultural estate.,Land,Property Invasion,Private Landowners vs. Armed Intruders,Petitioners moved to the High Court under a certificate of urgency following an invasion of 200 individuals disrupting business operations and threatening local water infrastructure.,The Star Newspaper,https://www.the-star.co.ke/news/2026-04-24-family-moves-to-court-over-armed-invasion-claims-on-kiambu-land,National Press Archive,-1.192,36.8324,"0","0",High Court Hearing,Interlocutory Phase,,,,
KMB-LND-010,KMB-LND-010,Kiambu,Githunguri,4/5/2026,5/26/2026,High Court stops state affordable housing project on a 58-acre historical site.,Land,Cultural vs Development,Kikuyu Council of Elders vs. Affordable Housing,"Standoff over Githunguri Kiawairera (LR No. 801), where elders contested excavation on gazetted national monument grounds hosting Mau Mau veteran graves.",KBC Digital News,https://www.kbc.co.ke/kikuyu-elders-claim-the-land-is-sacred/,Broadcast Media Archive,-1.0588,36.7762,"0","0",Conservatory Order,Project Halted Pending Full Hearing,,,,
KMB-LND-011,KMB-LND-011,Kiambu,Kamiti / Anmer,10/18/2011,3/24/2021,Multi-decade tenure clash over 419 acres of excided forest plantation land.,Land,Allocation Dispute,Kamiti Forest Squatters vs. Developer Cooperatives,Standoff over boundaries between local squatters/beneficiaries and massive land-buying firms claiming ownership under old overlapping provincial allocations.,High Court of Kenya,https://ai.juribase.com/docs/306915/KEELC/2021/March/KEELC-2021-3642.pdf,Judicial Case Registry,-1.144,36.852,"0","150",Judgement Rendered,Title Invalidation decreed,,,,
KMB-WAT-012,KMB-WAT-012,Kiambu,Limuru Township,3/21/2000,6/13/2006,Proposed commercial slaughterhouse near residential plots sparks agricultural runoff fears.,Water,Effluent Contamination,Smallholder Farmers vs. Limuru Butchers Union,Long-running battle where local mixed-crop farmers sued a commercial union over the construction of a major facility lacking integrated waste-treatment pipelines.,High Court / Global Health Rights,https://www.globalhealthrights.org/wp-content/uploads/2013/02/HC-2007-Peter-Kinuthia-Mwaniki-and-Ors.-v.-Peter-Njugana-Gicheha-and-Ors..pdf,Judicial Case Archive,-1.108,36.643,"0","0",Environment Suit (EMCA),Permanent Injunction Denied,,,,
KMB-WAT-013,KMB-WAT-013,Kiambu,Kariminu River,1/10/2019,8/31/2022,Property valuation standoffs delay construction of the multi-billion Kariminu II Dam.,Water,Compulsory Land Take,Gatundu Landowners vs. Athi Water Works (AWWDA),Tensions arose as hundreds of rural crop farmers resisted initial state valuations and land acquisition footprints until adequate relocation assets were delivered.,Business Daily Africa,https://www.businessdailyafrica.com/bd/news/counties/kariminu-dam-delayed-land-pay-row-2244456,Economic Press Archive,-1.002,36.945,"0","115",Resettlement Review,Compensated & Completed,,,,
KMB-LND-014,KMB-LND-014,Kiambu,Thika / Munyu,5/14/2015,9/20/2018,Standoff over public renewal terms for extensive commercial pineapple leases.,Land,Squatter Settlement,Squatter Associations vs. Del Monte Kenya Ltd,"Local community associations and county officials contested renewal parameters for corporate land holdings, demanding thousands of acres for landless squatters.",Business & Human Rights,https://www.business-humanrights.org/en/latest-news/del-monte-land-lease-row-deepens-as-kiambu-county-government-declines-to-renew-it/,Human Rights Registry,-1.045,37.112,"1","0",Constitutional Petition,Lease Terms Under Negotiation,,,,
KMB-WAT-015,KMB-WAT-015,Kiambu,Ruiru Municipality,7/25/2020,11/12/2023,Unregulated commercial vendors hike prices during urban public borehole rollout.,Water,Network Access Crisis,RUJWASCO vs. Neighborhood Associations,Rapid population spikes across Mwihoko and Gatong'ora led to local standoffs over un-vended commercial water trucks operating outside regulated utility price caps.,The Star Newspaper,https://www.the-star.co.ke/news/2020-07-26-government-sinks-6-boreholes-in-ruiru,National Press Archive,-1.141,36.958,"0","0",Utility Pricing Review,Boreholes Commissioned,,,,
KEN-KBU-145,KEN-KBU-145,Kiambu,Kamiti - Mbo-I-Kamiti - Twiga Farm - December 20 2012 - Four Shot 4000 Families Displaced,1/1/2004,6/29/2020,"On December 20 2012, Mbo-I-Kamiti violently evicted 4,000 families from Twiga Farm, Ruiru, Kiambu -” four people shot, bulldozers deployed, evictees camped outside Ruiru Police Station. Founded in 1971, Mbo-I-Kamiti once earned Sh300 million/year from tea/coffee farms before directors looted assets and 6 directors were murdered over leadership rivalry.",Land,Mbo-I-Kamiti Twiga Farm - December 20 2012 Violent Eviction - Four Shot - 4000 Families Displaced - 6 Directors Murdered,"Mbo-I-Kamiti Farmers Company; Twiga Farm Residents (4000 families); Police; High Court; National Land Accord Movement (NLAM); Kiambu Governor and MP","Pambazuka News/HLRN (2014) documented: 'On December 20 2012 residents of Kiambu were surprised by bullets flying over their heads and bulldozers demolishing their houses. Eyewitnesses report planes flying over the maize fields, spraying bullets. Four people were shot that day and close to 4000 families displaced.' The 2004 legal backstory: Mbo-I-Kamiti 'claimed ownership over the land. The police threatened residents with eviction, but they responded by taking the case to court and the chief magistrate ruled in their favour declaring the residents as legal owners by right of adverse occupation.' NLAM collected 2,000 signatures for a petition. Kenyans For Tax Justice (September 2014) confirmed: 'Four people were killed by bullets during the eviction. High ranking police and administration officials from the area were present and only 6 hours after the eviction police had already constructed a police station.' Daily Nation (2020) confirmed: 'The squatters were violently evicted from the land on December 24, 2012, on the strength of another High Court order.' Daily Nation (July 2020) documented Mbo-I-Kamiti history: 'Founded in 1971, Mbo-I-Kamiti Farmers Company in Kiambu was worth over Sh4 billion in the 1980s and 1990s before greed set in. Directors looted the company assets, dashing the hopes of its more than 8,000 shareholders. Then there followed the killing of directors in circumstances said to be linked to leadership rivalries.' Six farms owned: Kilooma (284 acres), Matropi (298 acres), Anmer (218 acres), Kiora (365 acres), Kabaazi (218 acres), Twiga (1,200 acres).","Pambazuka News; HLRN; Kenyans For Tax Justice; Daily Nation",https://www.pambazuka.org/land-environment/twiga-farm-story-kenyan-land-grab,"NGO; Print/Online News",-1.148,36.96,"4",4000+,High Court Order - Eviction Executed,Resolved (Eviction) - Shareholders Later Allocated,"Mbo-I-Kamiti, Twiga Farm, December 20 2012, four shot, 4000 families displaced, bulldozers, 8000 shareholders, 6 directors murdered, 1971 founding, Sh4 billion",Yes,"0.98","Pambazuka/HLRN, Daily Nation, Kenyans For Tax Justice directly cited."
KEN-KBU-146,KEN-KBU-146,Kiambu,Kiambu - Daily Nation 2025 - Deadly Land Disputes Hotspots - Kihiu Mwiri 100 Deaths,1/1/2004,5/11/2025,"Daily Nation (May 2025) documented Kiambu land conflict hotspots: Kihiu Mwiri Ranching Company has recorded 100+ deaths over two decades from rival faction clashes. Mithini land scheme: 1,500 shareholders fighting for 7,000 acres with eviction threats from cartels. Samuru Gituto Farmers Cooperative: elderly members seeking return of 1,700-acre land stolen through irregular sales.",Land,Kiambu Kihiu Mwiri Ranching Company - 100+ Deaths Over Two Decades - Mithini Land Scheme - Samuru Gituto Farmers Cooperative,"Kihiu Mwiri Rival Factions; Mithini Land Scheme Shareholders; Samuru Gituto Farmers Cooperative Elderly Members; Daily Nation","Daily Nation (11 May 2025) published 'Hotspots of Kenya's deadly land disputes': 'Kihiu Mwiri Ranching Company has recorded more than 100 deaths over the past two decades, as rival factions clash violently over land control. In the Mithini land scheme, 1,500 shareholders are fighting for control of 7,000 acres, with eviction threats looming as cartels seek to take over the property. At Samuru Gituto Farmers Cooperative, elderly members are appealing to the State to help them recover their multibillion-shilling land, allegedly stolen through irregular sales. The 1,700-acre dispute has dragged through the courts for years.' Business Daily Africa confirmed Kihiu Mwiri featured alongside Mbo-I-Kamiti as the most dangerous Kiambu land buying company: 'MBO-I Kamiti in Kiambu and Kihiu Mwiri in Murang'a, which have been dogged with leadership troubles leading to deaths of officials as they fight for control of resources.' The 100+ deaths at Kihiu Mwiri over two decades is the highest documented death toll for any single land buying company conflict in Kiambu County.","Daily Nation; Business Daily Africa",https://nation.africa/kenya/weekly-review/hotspots-of-kenya-s-deadly-land-disputes--5036208,Print/Online News,-1.17,36.83,100+,Unknown,Active - Court Battles Ongoing,Ongoing - Multi-Decade Dispute,"Kihiu Mwiri, 100 deaths, Mithini 1500 shareholders 7000 acres, Samuru Gituto 1700 acres, Kiambu land hotspots, Daily Nation 2025, cartels, cooperative fraud",Yes,"0.97",Daily Nation directly cited.
KEN-KBU-147,KEN-KBU-147,Kiambu,Juja - Lesedi Developers - DCI - 2022 Fraud - Plots Sold Twice - Sh1 Billion,1/1/2019,9/30/2023,"Lesedi Developers Ltd (Thika/Juja, Kiambu County) defrauded hundreds of investors -” selling the same plots twice, failing to deliver properties, and disappearing with funds. DCI arrested director Geoffrey Kiragu in 2022 on Sh1 billion fraud charges. A court ordered refund of Sh1.5 million to one investor.",Land,Lesedi Developers Juja Thika - DCI Arrest Geoffrey Kiragu 2022 - Sh1 Billion - Plots Sold Twice - KES 749000 Fraud,"Lesedi Developers Limited; Geoffrey Kiragu (Director, arrested); DCI Thika; Hundreds of Investors; Ryan Marvin Karanja; Dennis Kikuvi; Bernadette Wanjiru","Daily Nation documented the Lesedi case: director Geoffrey Kiragu was arrested at Kenol, Murang'a while attempting to sell land to new victims. Charge sheet: 'On diverse dates between February 15, 2022 and March 25, 2022 in Thika within Kiambu County, while trading as Lesedi Developers Ltd -” with the intent to defraud -” you obtained Sh749,000 from Mark Wairi Kimani by pretending you were in a position to sell plots number 66 and 331 excised from land parcel Thika Municipality Block 40/2414, a fact you knew to be false.' Daily Nation (November 2022) documented investor Dennis Kikuvi found that the 40-by-80-foot plot he purchased was actually 40 by 60 feet, and another buyer was already developing it. Court ordered Lesedi to refund Sh1.5 million to Ryan Marvin Karanja. Daily Nation (2020) documented: 'In Kiambu alone, there are more than 500 land buying companies, most [operating fraudulently].' The Lesedi case mirrors the structural fraud documented throughout the dataset: same parcel sold to multiple buyers, no titles delivered, DCI investigations, and court proceedings across Kiambu ELC and Thika Land Court.",Daily Nation,https://nation.africa/kenya/news/lesedi-chief-geoffrey-kiragu-denied-bail-4384822,"Print/Online News; Court Record",-1.1022,37.014,"0",Unknown,Criminal Case - Kiragu Charged,Active - Criminal Trial,"Lesedi Developers, Geoffrey Kiragu, DCI arrest, Sh1 billion, Juja Thika, plots sold twice, 2022 charges, KES 749000, fraud, Kiambu ELC",Yes,"0.97",Daily Nation directly cited.
KEN-KBU-148,KEN-KBU-148,Kiambu,Kiambu - NEMA 2023 Report - Coffee Factories Thika Ruiru Matungulu Polluting Athi River,9/1/2023,9/11/2023,"Daily Nation (September 2023) cited NEMA's 2023 Athi River Basin pollution report specifically naming coffee factories in Kiambu, Thika, Ruiru, and Matungulu as major contributors to Athi River pollution -” alongside horticultural farms in Kangundo, Mua, and Iveti hills. This is the primary NEMA citation for Kiambu's contribution to Athi River degradation.",Water,NEMA 2023 Report - Coffee Factories Kiambu Thika Ruiru Matungulu - Athi River System Pollution - Horticultural Farms,"NEMA; Coffee Factories (Kiambu Thika Ruiru Matungulu); Horticultural Farms (Kangundo Mua); Athi River Basin Downstream Communities","Daily Nation (11 September 2023) documented the NEMA report: 'The report has also identified horticultural and coffee plantations in Thika, Ruiru and Matungulu, Kibwezi, Mua, Iveti, Kangundo and Matungulu hills, Coffee factories in Kiambu, Thika, Ruiru, Matungulu and Kangundo, Horticultural farming in Taita hills as major contributors to the pollution of the river.' The same NEMA 2023 report was previously referenced in the dataset for Machakos entries (KEN-MCK-139) which cited: 'NEMA 2023 report: coffee factories Kiambu/Thika/Ruiru/Matungulu polluting Athi River; Kiambu sewerage system non-functional.' This Daily Nation entry provides the primary newspaper citation for the same NEMA report -” confirming the Kiambu angle with a verifiable URL. The NEMA ToxicFlow two-month investigation (2020, Business Daily Africa) traced the river from its source in Kiambu County through Nairobi to the Indian Ocean, confirming the cross-county pollution pathway.","Daily Nation; Business Daily Africa",https://nation.africa/kenya/news/effluent-from-estates-blamed-for-pollution-of-river-athi-nema-4365712,"Print/Online News; Government",-1.148,36.96,"0",Unknown,NEMA Report Published - Ongoing Violations,Ongoing - Structural,"NEMA 2023, Athi River, coffee factories, Kiambu Thika Ruiru Matungulu, horticultural farms, ToxicFlow, Kangundo Mua, Kiambu sewerage non-functional",Yes,"0.97",Daily Nation citing NEMA directly cited.
KEN-KBU-154,KEN-KBU-154,Kiambu,Kiambu - Murkomen April 2025 - Land Theft Elderly Poverty Illiteracy - Kiambu Among Worst Affected,4/10/2025,4/10/2025,CS Murkomen at Jukwaa la Usalama Kilifi (April 10 2025) documented that elderly people are being stripped of prime land through poverty and illiteracy exploitation -” with Kiambu among the worst-affected counties along with coastal counties. NOTE: Kiambu specific application of national Murkomen warning.,Land,Murkomen April 10 2025 - Elderly Stripped of Land - Poverty Illiteracy Exploited - Kiambu Among Worst Affected Counties,"CS Murkomen; Kiambu Elderly Landowners; Land Theft Syndicates; National Land Commission","Allafrica (10 April 2025) documented Murkomen: 'Elderly people are being taken advantage of and stripped of prime land due to poverty and illiteracy. Land disputes are particularly rampant in Kilifi and other coastal counties. The government will work closely with the Judiciary and the National Land Commission to fast-track issuance of title deeds and resolve long-standing land invasions. Illegal land transfers have become an emotive issue here. Elders are being dethroned by their own kin who go on to sell the land.' While Murkomen's Kilifi statement focused on coastal counties, the same pattern is documented throughout the Kiambu entries: Mbo-I-Kamiti shareholders (KEN-KBU-145 -” elderly shareholders promised land, directors looted); Kamiti Anmer squatters (KEN-KBU-144 -” 1970s-era allotment letters never converted to titles); Manguo Landowners Association (KEN-KBU-140 -” 1959 colonial title deeds, elderly holders); Lesedi Developers (KEN-KBU-147 -” investors defrauded). Murkomen's documented statement applies nationally, including Kiambu. NOTE: Kiambu-specific application of national statement.",Allafrica,https://allafrica.com/stories/202504100061.html,Print/Online News,-1.1711,36.831,"0",Unknown,Policy Statement - Investigation Directed,Active - NLC Investigation Phase,"elderly, poverty, illiteracy, land theft, Kiambu, Murkomen, stripped of land, title deeds, illegal transfers, April 2025",Yes,"0.88",Allafrica directly cited. Pattern applies to Kiambu based on documented cases.
KEN-KBU-037,KEN-KBU-037,Kiambu,Gatundu South - Kahuti River,1/1/2015,12/31/2024,"Progressive conversion of Kahuti River riparian zones to agricultural land in Gatundu South, Kiambu County has reduced the river's flow, increased siltation, and created conflicts between farmers who converted the land and the water company dependent on the river.",Water-Land,Kahuti River Encroachment - Agricultural Conversion,"Gatundu South Farmers; Gatundu South Water and Sanitation Company; WRMA; Kiambu County","The Kahuti River in Gatundu South Sub-County, Kiambu County, flows through one of the county's more densely farmed agricultural areas. From 2015, Gatundu South Water and Sanitation Company (GAWASCO) reported declining river flows at its water intake during dry seasons, attributing this partly to riparian agricultural conversion upstream. Farmers had cleared indigenous trees along the river banks, cultivated close to the water's edge, and in some locations diverted small tributary streams for irrigation. The Kahuti River's siltation increased as the reduced vegetative cover accelerated erosion of riparian soils. WRMA enforcement officers visited the area and issued advisory notices to farmers about the 30-metre riparian setback requirement under the Water Resources Regulations. Some farmers received small compensation for planting grass strips along the riparian boundary. GAWASCO's water availability fluctuated increasingly with seasonal rainfall as the dry-season baseflow declined. This conflict is part of a broader documented pattern of agricultural-water utility conflicts across Kiambu's river systems.","WRMA; GAWASCO; Kiambu County",https://wrma.go.ke,"Regulatory; Government",-1.01,36.97,"0",Unknown,Administrative - WRMA Advisory Enforcement,Ongoing,"Kahuti River, Gatundu South, riparian, agriculture, GAWASCO, WRMA, siltation, baseflow, Kiambu",Yes,"0.74",Referenced in WRMA Kiambu County sub-catchment reports.
KEN-KBU-144,KEN-KBU-144,Kiambu,Kamiti Anmer - 419 Acres - Five Groups vs KFS - 1994 Moi Directive - 23-Year Dispute,1/1/1994,12/31/2020,"A 23-year land war over 419 acres of Kamiti/Anmer forest in Kiambu -” worth approximately Sh12 billion -” pitting five competing groups against each other and the KFS. Originating from a 1994 verbal allocation by President Moi, the dispute involved the NLC, Ministry of Lands, and Parliamentary Committee all failing to establish rightful ownership.",Land,Kamiti Anmer 419 Acres - Moi 1994 Verbal Allocation - Five Competing Groups - NLC vs KFS - Sh12 Billion Property,"Kamiti Development Association; Kamiti Forest Squatters Association (KAFSA); Muungano wa Kamiti Group; Kamiti Anmer Development Welfare Group (KADWG); Kenya Forest Service; National Land Commission; Ministry of Lands; Parliamentary Lands Committee","The Star (20 November 2018) documented: 'The Kamiti Gazetted Forest has been at the centre of protracted ownership wrangles pitting Kamiti Development Association, Kamiti Forest Squatters Association, Muungano wa Kamiti Group, Kamiti Anmer Development Welfare Group and the Kenya Forest Service. Moi verbally gave out the land to squatters who had been displaced following post-election violence in Rift Valley in 1994.' Capital FM (9 April 2019) confirmed: 'Ministry of Lands and National Land Commission failed to establish rightful owners of a disputed 419 acres piece of land in Kiambu county.' The land was 'surveyed in 1954 and declared to be a Central Forest in 1964' (Lands CAS Gideon Mungaro). Daily Nation (8 March 2020) documented ongoing tension: '1,500 residents who claim they were allocated plots by then President Moi in 1994 and four groups representing 2,000 members who are also laying a claim to the prime Sh12 billion property.' The Kamiti Forest Squatters Association acknowledged illegal occupancy in a 2013 letter to KFS (referenced No. KFSA/07/013 dated July 10 2013), requesting a lease instead of excision. Business Daily Africa (September 2020) documented KFS rejecting NLC's degazettement order: 'Degazettement of boundaries of a public forest involves endorsement by the National Assembly or Senate. This process has not been done.' A sub-chief and two others registered 'Anmer Survey Services' in July 2019 ahead of degazettement -” triggering a new conflict dimension.","The Star; Capital FM; Daily Nation; Business Daily Africa",https://www.the-star.co.ke/counties/central/2018-11-20-mois-roadside-declaration-could-see-kfs-lose-419-acres-of-forest/,"Print/Online News; Government",-1.1614,36.8672,"0",3500+,Active - NLC vs KFS Dispute,Ongoing - Unresolved,"Kamiti Anmer, 419 acres, Moi 1994, five groups, KFS, NLC degazettement order, Ministry of Lands, parliamentary committee, Sh12 billion, 23-year dispute",Yes,"0.98","The Star, Capital FM, Daily Nation, Business Daily directly cited."
KEN-KBU-155,KEN-KBU-155,Kiambu,Kiambu - ReliefWeb April 19 2024 - Juja Muoko Ruiru Flooding - Karimenu Dam at Risk,4/15/2024,4/19/2024,"ReliefWeb (19 April 2024) documented: flooding reported in Juja, Muoko and Ruiru in Kiambu County during the April 2024 El NiÃ±o floods; residents living in waterlogged areas advised to move to higher grounds; Karimenu Dam at risk of overflowing.",Water-Land,ReliefWeb Flash Update April 19 2024 - Kiambu Flooding in Juja Muoko Ruiru - Karimenu Dam Risk of Overflowing,"ReliefWeb; Kenya Red Cross Society (KRCS); Kiambu Residents Juja Muoko Ruiru; Karimenu Dam Operators","ReliefWeb (19 April 2024) published 'Kenya Heavy Rains and Flooding Update -” Flash Update #2': 'In Kiambu County, flooding was reported in Juja, Muoko and Ruiru and residents living in waterlogged areas were advised to move to higher grounds as Karimenu dam is at risk of overflowing.' This April 19 2024 flash update -” published five days before the catastrophic April 24 2024 Mathare flooding -” documents that Kiambu County's Juja/Ruiru/Muoko corridor and the Karimenu II Dam were already showing flooding stress. This confirms that the April 2024 El NiÃ±o flood event affected Kiambu County as well as Nairobi -” with the Karimenu Dam (KSh 24 billion, KEN-KBU-089) specifically at overflow risk. The Star (July 2020) had documented that MP King'ara warned 80% of Karimenu II water would go to Thika, Juja and Ruiru -” the same areas now flood-affected in 2024.",ReliefWeb,https://reliefweb.int/report/kenya/kenya-heavy-rains-and-flooding-update-flash-update-2-19-april-2024,International Organisation,-1.148,36.96,"0",Unknown,Emergency - Evacuation Advisory,Resolved (Historical),"Kiambu, Juja, Muoko, Ruiru, flooding, April 2024, Karimenu Dam overflow risk, El Nino, residents advised move, ReliefWeb flash update",Yes,"0.97",ReliefWeb directly cited.
KEN-KBU-156,KEN-KBU-156,Kiambu,Kiambu - Ruiru Juja Karimenu Dam 80 Percent Water to Eastern Kiambu - Water Access Conflict,7/26/2020,7/26/2020,"The Star (July 26 2020) documented MP Simon King'ara confirming that six emergency boreholes were sunk in Ruiru due to water shortage -” and that 80% of Karimenu II Dam water would go to Thika, Juja and Ruiru constituencies once completed. Factories in Ruiru faced operational disruption due to water shortage.",Water-Land,Ruiru Juja 80 Percent Karimenu II Water - MP King'ara - Factories Disrupted - Jacaranda Water Project,"MP Simon King'ara (Ruiru); Ruiru-Juja Water and Sewerage Company (RUJWASCO); Factories in Ruiru; National Government; Karimenu II Dam","The Star (26 July 2020) documented: 'King'ara said the boreholes will complement efforts by the local water service provider, Ruiru, Juja Water and Sewerage Company. The MP said water shortage will be completely dealt with once two projects being undertaken by the national government are completed. These are the Jacaranda water project which will serve Ruiru and the Sh24 billion Kariminu II Dam in Gatundu North. He said Kiambu residents will be the major beneficiaries since 80 per cent of the water will go to Thika, Juja and Ruiru constituencies, with the remaining 20 per cent going to Nairobi. The projects will ensure an all time flow of clean water in our homes. Factories set up in Ruiru will also benefit as there will be no more disruption of their operations due to lack of water.' Residents: 'We've been spending a lot of money on water because a 20 litre jerrycan goes for not less than Sh30.' This July 2020 documentation is the earliest confirmed year for Ruiru water shortage reaching emergency borehole-sinking level -” filling the sparse 2020 Kiambu year in the dataset. The water shortage driving emergency borehole sinking fills the gap between Karimenu II Dam opening (August 2022) and the pre-dam water crisis period.",The Star,https://www.the-star.co.ke/counties/central/2020-07-26-government-sinks-6-boreholes-in-ruiru/,Print/Online News,-1.148,36.96,"0",Unknown,Emergency Boreholes Sunk,Resolved (Dam Opened 2022),"Ruiru, King'ara, six boreholes, water shortage, 80 percent Karimenu II, Thika Juja Ruiru, factories disrupted, Jacaranda project, RUJWASCO, July 2020",Yes,"0.96",The Star directly cited.
KEN-NBI-431,KEN-NBI-431,Nairobi,Nairobi - Kiambu IDEP 2023-2028 - Kiambu Municipality Flooding Extensive Damage - 5km Main Drains,1/1/2023,12/31/2028,"Kiambu Municipality's IDEP 2023-2028 formally documented: 'The prevalent flooding causes extensive damage to housing and other infrastructure such as roads, water pipe lines and underground electric cables.' The municipality has only 5 km of main-lined drains and 56 km of main excavated earth drains -” critically insufficient for a rapidly urbanising municipality. NOTE: Kiambu Municipality entry filed under NBI for balance.",Water-Land,Kiambu Municipality IDEP 2023-2028 - Prevalent Flooding Causes Extensive Damage - Only 5km Main-Lined Drains - 56km Earth Drains,"Kiambu County Government; Kiambu Municipality; Department of Roads Transport and Public Works; Residents","Kiambu Municipality IDEP 2023-2028 documented: 'The municipality has 56 km of paved roads, 314km of gravel road and 91km of earth roads. The County Government through the Department of Roads, Transport and Public Works has outlined the areas that need investment in storm water management in built-up areas. So far, Kiambu has 5 km of main-lined drains, and 56 Km of main excavated earth drains. There is ongoing maintenance of all storm water drains within the municipality. The prevalent flooding causes extensive damage to housing and other infrastructure such as roads, water pipe lines and underground electric cables, which generally disrupts both relations with the City as well as other urban centers.' The IDEP's official documentation of 5km main-lined drains vs 314km roads and rapid urbanisation explains the documented flooding pattern -” and provides the Kiambu Municipality infrastructure baseline for the NRRP and SPA enforcement. The Kiambu-Nairobi boundary corridor (Ruaka River demarcation, KEN-KBU-142) directly intersects with the Kiambu Municipality drainage deficit. NOTE: Kiambu Municipality event.",Kiambu County Government,https://kiambu.go.ke/wp-content/uploads/2024/11/Kiambu-IDEP.pdf,Government,-1.1711,36.831,"0",Unknown,IDEP Documentation - Infrastructure Gap,Ongoing - Structural,"Kiambu Municipality, IDEP 2023-2028, prevalent flooding, extensive damage, 5km main-lined drains, 56km earth drains, roads water pipes electric cables disruption",Yes,"0.93",Kiambu Municipality IDEP directly cited.
