field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9,field_10,field_11,field_12,field_13,field_14,field_15,field_16,field_17,field_18,field_19,field_20,field_21,field_22,field_23,field_24,geom,123
TRK-004,TRK-004,Turkana,Turkana County (Lake Turkana / Omo River),1/1/2009,12/31/2024,"Ethiopia's Gibe III dam on Omo River reduces inflow to Lake Turkana, altering salinity, disrupting fish breeding and displacing Turkana fishing communities",Water Conflict,International Water Resource Conflict (Gibe III Dam),"Ethiopia (Gibe III Dam operators), Lake Turkana fishing communities, Kenya Govt","The Gibe III dam on Ethiopia's Omo River—which feeds into Lake Turkana, the world's largest permanent desert lake—has significantly reduced water flows. Alterations in salinity and water levels have disrupted fish breeding patterns. Turkana fishing c",Borgen Project; Climate Diplomacy,https://borgenproject.org/water-crisis-in-turkana/; https://climate-diplomacy.org/case-studies/drought-and-conflict-across-kenyan-ethiopian-border,News / Academic,6.8482,37.3018,Not formally quantified,Thousands of fishing community members,Ongoing; bilateral Kenya-Ethiopia diplomatic discussions,Conflict persists; no resolution,Lake Turkana Gibe III dam Ethiopia water conflict fish breeding migration 2009 2024,High,0.9,Documented by multiple sources including Borgen Project and Climate-Diplomacy,,
KEN-TRK-032-B,KEN-TRK-032,Turkana,Turkana North - Lake Turkana Islands,1/1/2019,12/31/2023,"Turkana North fishing communities conflict with KWS and Sibiloi National Park authorities over access to fish breeding grounds on Lake Turkana's protected islands, crucial for fish stocks.",Water-Land,Fishing Zone Conflict - Protected Areas,Turkana Fishing Communities; Kenya Wildlife Service; Sibiloi National Park Management; UNESCO World Heritage,"The Water, Peace and Security impact story (January 2023) quoted Erupe, a park manager at Lake Turkana, stating: 'In Lake Turkana we have three islands. Two are areas protected by the Kenyan government. We also have the Sibiloi National Park, and part of",Water Peace and Security - International Alert,https://waterpeacesecurity.org/info/impact-story-01-10-2023-resource-management-challenges,NGO Report,3.583,36.117,2,Unknown,Active - KWS Enforcement,Ongoing,"Lake Turkana, Sibiloi National Park, fishing zone, protected islands, KWS, UNESCO, fish stocks, Turkana North",Yes,0.92,WPS impact story directly cited. Named park manager quoted.,,
KEN-KBU-025-B,KEN-KBU-025,Kiambu,Murera - Murang'a Border,1/1/2015,12/31/2023,Tea and smallholder farming communities along Tana River headwaters on the Kiambu-Murang'a border conflict with TAWWDA and WRMA over catchment land use restrictions that limit agricultural activity in the river's protected zone.,Water-Land,Tana River Catchment Land Use Conflict,TAWWDA; Kiambu-Murang'a Border Communities; WRMA; Forestry Department,"The Tana River catchment in the upper Aberdare range covers parts of Kiambu, Murang'a, and Kirinyaga counties. TAWWDA manages water infrastructure drawing on Tana River flows. WRMA designated protected catchment zones along the upper Tana and its tributa",WRMA; TAWWDA; Kiambu County; Standard Media,https://wrma.go.ke,Regulatory; Government,-0.7,36.85,0,Unknown,Administrative - Catchment Buffer Enforcement,Ongoing,"Tana River, catchment, Kiambu, Murang'a, WRMA, TAWWDA, tea farming, buffer zone, forestry, smallholder",Yes,0.76,Referenced in WRMA upper Tana catchment management reports.,,
KEN-KBU-026-B,KEN-KBU-026,Kiambu,Kiambu County - Ndakaini Feeder Streams,1/1/2016,12/31/2024,"Smallholder farming communities encroaching on Ndakaini (Thika) Dam's feeder streams in Kiambu County reduced catchment integrity and contributed to declining dam levels, creating a critical urban-rural water security conflict.",Water-Land,Ndakaini Dam Feeder Stream Encroachment,NCWSC; Kiambu Farmers; Murang'a County; WRMA,"Ndakaini Dam (Thika Dam) in Murang'a County supplies approximately 80% of Nairobi's treated water via NCWSC. Its water level depends on runoff from the surrounding catchment including feeder streams originating in Kiambu County. From 2016, NCWSC flagged",NCWSC; WRMA; Nation Media,https://waterservices.go.ke,Government; Regulatory,-0.816,36.783,0,Unknown,Active - Catchment Payment Programme,Ongoing,"Ndakaini, Thika Dam, feeder streams, NCWSC, catchment, Nairobi water supply, farming, WRMA, Kiambu",Yes,0.85,Multiple government water utility sources. Critical Nairobi water security issue.,,
KEN-KBU-053,KEN-KBU-053,Kiambu,Kiambu - Upper Tana Riparian Smallholder Farms,1/1/2016,12/31/2024,"Approximately 500 smallholder farming families along the Tana River upper catchment on the Kiambu-Murang'a border face ongoing pressure to vacate 30-metre riparian buffer zones under the Water Act 2016, threatening their livelihoods without adequate comp",Water-Land,Upper Tana Buffer Zone - Smallholder Farmer Eviction Threat,Kiambu-Murang'a Border Smallholder Farmers (est. 500 families); TAWWDA; WRMA; Kiambu County; Kiambu Farmers Association,"WRMA and TAWWDA documentation for the upper Tana catchment in Kiambu County identifies approximately 500 smallholder families whose tea, horticultural, and food crop farms straddle the 30-metre riparian buffer zone along the Tana and its Kiambu tributari",WRMA; TAWWDA; Kiambu County,https://wrma.go.ke,Regulatory; Government,-0.75,37.05,0,500+,Administrative - WRMA Buffer Enforcement,Ongoing,"Upper Tana, Kiambu, Murang'a border, smallholder, riparian buffer, WRMA, TAWWDA, Water Act 2016, 500 families",Yes,0.79,WRMA upper Tana catchment management reports cited.,,
KEN-TRK-075,KEN-TRK-075,Turkana,Turkana - Lake Turkana - Climate Change Impact 2019-2024,1/1/2019,12/31/2024,"Lake Turkana's water level has fluctuated dramatically between 2019 and 2024, alternating between record highs (from Omo River flooding) and record lows (from drought), creating alternating conflicts over flooded land and dry-season water access.",Water-Land,Lake Turkana Water Level Fluctuation - Climate Conflict,Lake Turkana Basin Communities; Kenya and Ethiopia Governments; Dassanach; Turkana North Fishing Communities; WPS Partnership,"The Water, Peace and Security partnership documentation and Yale Environment 360 coverage confirm that Lake Turkana experienced significant water level fluctuations between 2019 and 2024. Erratic rainfall and deforestation on the Ethiopian side led to Om",WPS International Alert; Yale Environment 360; WPS Impact Stories,https://waterpeacesecurity.org/info/impact-story-01-10-2023-resource-management-challenges,NGO; Print/Online News,3.5,36,10+,5000+,Active - Climate-Driven,Ongoing,"Lake Turkana, water level, Omo River, flooding, drought, climate change, 2019-2024, shoreline, fishing, Dassanach",Yes,0.9,WPS International Alert directly cited.,,
KEN-KBU-066,KEN-KBU-066,Kiambu,Kiambu - Gatundu North - Githiga Water Pan Conflict,1/1/2015,12/31/2024,"Community water pans in Githiga area of Gatundu North Sub-County, Kiambu County, have experienced access conflicts where long-term users without formal membership in the water pan management committee face exclusion during drought periods.",Water-Land,Githiga Water Pan - Community Access Conflict Gatundu North,Gatundu North Farmers; Githiga Water Pan Management Committee; Gatundu North Sub-County; NWCPC,The National Water Conservation and Pipeline Corporation (NWCPC) records for Kiambu County document that water pans in Gatundu North's Githiga area -” part of the county's historic water pan network -” have experienced governance conflicts. During th,NWCPC; Gatundu North Sub-County; Kiambu County,https://kiambu.go.ke,Government; Regulatory,-1.033,36.85,0,Unknown,Administrative - Mediation,Partially Resolved,"Githiga, water pan, Gatundu North, committee, exclusion, non-member, drought, Kiambu, NWCPC, access",Yes,0.73,NWCPC and sub-county records cited.,,
KEN-MCK-077,KEN-MCK-077,Machakos,Machakos - Kitui Border - Water Pan Disputes,1/1/2015,12/31/2024,"Water pan and irrigation access disputes along the Machakos-Kitui county boundary, particularly in the Yatta and Masinga Sub-County areas, have created cross-county resource competition between smallholder farmers from both counties.",Water-Land,Machakos-Kitui Border Water Pan Competition,Machakos County Yatta Sub-County Farmers; Kitui County Farmers; National Irrigation Authority; NWCPC,The Yatta Sub-County of Machakos County borders Kitui County along the eastern Yatta Plateau. Seasonal rivers and water pans in this border zone are shared across the county boundary. NWCPC records document that some water pans on the Machakos side of th,NWCPC; Machakos County CIDP; National Irrigation Authority,https://machakos.go.ke,Government; Regulatory,-1.35,37.65,0,Unknown,Administrative - Cross-County Mediation,Ongoing,"Yatta, Masinga, Machakos-Kitui border, water pan, cross-county, NWCPC, National Irrigation Authority, drought 2022",Yes,0.72,NWCPC and CIDP records cited.,,
KEN-TRK-097,KEN-TRK-097,Turkana,Turkana County - Lowerengak Oil-Fishing Conflict,1/1/2014,12/31/2022,"In Lowerengak, northeast Turkana, the convergence of oil exploration activity and traditional fishing in the Lake Turkana delta area created a documented conflict between the fishing community and oil company operations.",Water-Land,Lowerengak - Oil Exploration and Fishing Access Conflict,Lowerengak Fishing Community; Tullow Oil (Block 10BA); Turkana North; Kenya DRD; WRMA,"The KNCRC Conflict and Extractive Industries in Turkana (2018) documented that Lowerengak, in northeast Turkana adjacent to Lake Turkana, is an area 'where pastoralists have often moved to in times of drought and crisis (being able to catch fish)' and wh",KNCRC; International Alert,https://crimeresearch.go.ke/wp-content/uploads/2018/02/Conflict-and-Extractive-Industries-in-Turkana.pdf,Government Research; NGO,3.8,36.2,5+,500+,Stalled - Partial Restoration,Partially Resolved,"Lowerengak, oil exploration, fishing, Block 10BA, Turkana North, drought refuge, fencing, stalled exploration",Yes,0.87,KNCRC directly cited.,,
KEN-TRK-100,KEN-TRK-100,Turkana,Kibish - Lokomarinyang - River Nakuwa Cross-Border Water,1/1/2015,12/31/2025,"Communities in Kibish Sub-County, Turkana County, rely on the River Nakuwa for fresh water because most local boreholes yield saline water. The Nakuwa primarily flows on the Ethiopian side, creating a cross-border water dependency that generates document",Water-Land,Kibish Sub-County - River Nakuwa Cross-Border Water Access,Kibish Sub-County Turkana Community; Dassanach Community (Ethiopia); River Nakuwa Users; Kenya-Ethiopia Border Area,"The WPS Impact Story (October 2022) documented: 'The community depends on boreholes to get water, but most of them are salty. People in Kibish, a sub-county of Turkana, therefore rely on the water from River Nakuwa, which is at the border and primarily f",WPS International Alert; Standard Media,https://waterpeacesecurity.org/info/impact-story-12-13-2022-A-miracle-in-the-desert,NGO; Print/Online News,4.85,35.85,5+,Unknown,Active - Cross-Border Water Dependency,Ongoing,"Kibish, Lokomarinyang, River Nakuwa, saline boreholes, cross-border water, Ethiopia, Turkana, access conflict",Yes,0.92,WPS Impact Story and Standard Media directly cited.,,
KEN-TRK-101,KEN-TRK-101,Turkana,Lake Turkana - Gibe III Dam - Fish Breeding Grounds,1/1/2016,12/31/2024,"The Gibe III Dam's altered flood regime has disrupted the Omo River's annual flood pulse that historically fertilised Lake Turkana's fisheries. The lake's salinity has increased and fish populations have been affected, intensifying competition for fishin",Water-Land,Gibe III Dam - Lake Turkana Fish Breeding Disruption,Turkana North Fishing Communities; Ethiopia Gibe III Operators; Lake Turkana National Parks; Kenya Wildlife Service; WPS Partnership,"WPS Impact Story (October 2022) documented the park manager Erupe's perspective on fishing grounds conflict at Lake Turkana: 'In Lake Turkana we have three islands. Two are areas protected by the Kenyan government. We also have the Sibiloi National Park,",WPS International Alert; International Rivers; New Security Beat,https://waterpeacesecurity.org/info/impact-story-01-10-2023-resource-management-challenges,NGO; International Organisation,3.583,36.117,10+,Unknown,Active - Fisheries Decline,Ongoing,"Gibe III, Lake Turkana, fish breeding, Sibiloi, salinity, Omo River, flood pulse, Turkana, Dassanach, fishing grounds",Yes,0.92,WPS and International Rivers directly cited.,,
KEN-KBU-085,KEN-KBU-085,Kiambu,Kiambu - Chania River - Thika County Boundary Dispute,1/1/2004,12/31/2025,"The dissolution of Thika District in 1966 and adoption of the Chania River as the administrative boundary between Kiambu and Murang'a counties created a long-running governance dispute with water resource management implications, as the Chania River is a",Water-Land,Chania River - Administrative Boundary Conflict - Thika-Murang'a Split Post-1966,Thika County Stakeholders Forum; Kiambu County Government; Murang'a County Government; Residents of Thika Region; Kenya Senate,"Thika Town Today (May 2026) documented that the Thika County Stakeholders Forum, in a statement by Secretary Martha Nyamu, stated that Thika District 'had existed independently between 1933 and 1966 before it was dissolved through a parliamentary motion",Thika Town Today; Kiambu County Government,https://www.thikatowntoday.co.ke/2026/05/historical-political-injustice.html,Print/Online News; Government,-1.033,37.083,0,Unknown,Active - Senate Petition,Ongoing,"Chania River, Thika District, Murang'a, Kiambu, 1966 dissolution, administrative boundary, water governance, split management, Senate Bill 2023",Yes,0.9,Thika Town Today and Kiambu County cited.,,
KEN-NBI-230,KEN-NBI-230,Nairobi,Kenya - National Flood Death Toll March-May 2024 - 315 Deaths 293200 Displaced,3/1/2024,5/18/2024,"By 18 May 2024, Kenya's NDOC confirmed 315 deaths, 188 injuries, 38 missing, 293,200 people displaced and 306,520 affected nationally by the March-May 2024 floods. 11,311 livestock were lost, 47,578 acres of cropland damaged, and 129 schools affected.",Water-Land,National Flood Toll March-May 2024 - 315 Deaths 293200 Displaced 47578 Acres Cropland Damaged,National Disaster Operations Centre (NDOC); Kenya Red Cross Society; OCHA; Ministry of Interior,"ReliefWeb (OCHA, 17 May 2024) documented the comprehensive national toll: 'An estimated 315 people have been killed, 188 injured, and 38 missing, while more than 293,200 people (58,641 families) have been displaced and nearly 306,520 (61,304 families) ha",OCHA; ReliefWeb; Kenya Red Cross; IOM,https://reliefweb.int/disaster/fl-2024-000045-ken,International Organisation; Government,-1.2833,36.8167,315,293200,Emergency Response,Resolved (Flood Event Ended),"Kenya, national flood, March-May 2024, 315 deaths, 293200 displaced, 306520 affected, 47578 acres, 129 schools, Masinga Dam overflow, NDOC",Yes,0.99,OCHA ReliefWeb and IOM directly cited. All statistics confirmed.,,
KEN-NBI-232,KEN-NBI-232,Nairobi,Nairobi - Nairobi 2006 2010 2012 2015 2018 Major Floods - Historical Pattern,1/1/2006,12/31/2018,"IWA Publishing's WeingÃ¤rtner et al. (2021) documented high flood impacts recorded in Nairobi in 1961, 1997/1998, 2006, 2010, 2012, 2015 and 2018 -” establishing a historical pattern of escalating flood frequency and severity that forms the backdrop",Water-Land,Nairobi Major Flood Events 2006 2010 2012 2015 2018 - IWA Historical Documentation,Nairobi County; NDMU; Kenya Red Cross; IWA Publishing Researchers,"""ScienceDirect (2021)",citing WeingÃ¤rtner et al. (2021),documented that 'high impacts of flooding were recorded in 1961,1997/1998,-1.2833,36.8167,2012,2015 and 2018' in Kenya. The IWA Publishing study (Journal of Water and Climate Change,2022) further confirmed that 'Kenya has experienced at least 17 major floods since 1960s with each flooding disaster affecting at least 70,000 people.' The 2018 flood -” which preceded and contributed to the Solai dam failure -” killed nearly 150 people across Kenya before the dam burst. The 2006 flood is separately documented in the Nairobi hot spots analysis. In 2004,IWA documented,a new housing policy was formulated; Vision 2030 launched in 2007; the Nairobi Metropolitan Region was created in 2008 -” all governance changes that happened during or between major flood events without the formal integration of flood-risk considerati,IWA Publishing; ScienceDirect,https://iwaponline.com/jwcc/article/13/4/1790/87566/Correlation-between-flooding-and-settlement,,
KEN-TRK-153,KEN-TRK-153,Turkana,Turkana East - Lomelo Village - Armed Militia Ambush - Approximately 2012,1/1/2012,12/31/2012,"Joshua, a Kapedo resident born 1999, described being in a police truck with about 30 civilians near Lomelo when 'without warning, a swarm of nearly 50 armed Pokot militia ambushed them.' He lost both brothers on the same day in the attack, documenting on",Water-Land,Lomelo Village Ambush - 30 Civilians in Police Truck - 50 Pokot Militia - Circa 2012,50 Pokot Militia; 30 Civilians; Police Truck; Turkana East; Joshua (survivor); Relatives of Victims,"New Lines Magazine (November 2023) documented Joshua's testimony about the circa-2012 ambush: 'At age 13, he was sitting in the back of a militarised police truck -” a common way to travel given the security situation -” on his way to Lomelo, an even",New Lines Magazine,https://newlinesmag.com/reportage/northern-kenyas-unending-battle-with-banditry-and-cattle-rustling/,Print/Online News,1.215,36,10+,Unknown,Historical - Personal Testimony,Resolved (Historical),"Lomelo, circa 2012, 50 Pokot militia, 30 civilians, police truck, Joshua, brothers killed, Turkana East, Kapedo, ambush",Yes,0.88,New Lines Magazine directly cited. Named witness and location confirmed.,,
KEN-TRK-190,KEN-TRK-190,Turkana,Turkana - Gibe III - 2011 Dassenetch Turkana Exchange - 50 Dead,1/1/2011,12/31/2011,Climate Diplomacy (2016) cited a KBC report documenting that an exchange between the Dassenetch peoples on the Ethiopian side of the border and Turkana peoples on the Kenyan side in 2011 'left 50 dead.' This occurred during the Gibe III construction peri,Water-Land,2011 Dassenetch Turkana Exchange - 50 Dead - KBC Documented - Gibe III Pre-Filling Period,Dassenetch Community (Ethiopia); Turkana Community (Kenya); KBC; Ethiopia-Kenya Border,"Climate Diplomacy (2016) documented: 'Fighting between the Dassenetch peoples on the Ethiopian side of the border and Turkana peoples on the Kenyan side has erupted periodically over land and revenge killings. An exchange in 2011 left 50 dead, according",Climate Diplomacy; KBC,https://climate-diplomacy.org/magazine/update-kenyas-dwindling-lake-turkana-ethiopian-dam-begins-operation,Print/Online News; Government,4.3115,36.2271,50,Unknown,Historical - Conflict During Dam Construction Period,Resolved (Historical),"Dassenetch, Turkana, 2011, 50 dead, KBC, Ethiopia-Kenya border, Gibe III construction period, water land revenge killings, periodic exchange",Yes,0.88,Climate Diplomacy citing KBC directly cited.,,
KEN-TRK-191,KEN-TRK-191,Turkana,Turkana - Lake Turkana - Mongabay May 2026 - Rising Waters After 2020 Rains,1/1/2020,5/1/2026,"Mongabay (May 2026) documented a remarkable reversal: after years of declining from Gibe III, Lake Turkana has experienced rising water levels since 2020 due to heavy rainfall and dam spills -” causing flooding of homes, farms, and infrastructure along",Water-Land,Lake Turkana Rising Waters After 2020 Rains - Flooding 2023-2024 - Reverse Problem,Lake Turkana Communities; Mongabay Researchers; USGS; Ikal Angelei; Pastoralist Communities,"Mongabay (May 2026) published 'Rising waters and mounting pressures collide on Kenya's Lake Turkana': 'Yet construction of the dam continued, and in 2015, Ethiopia began filling the vast Gibe III reservoir, temporarily reducing inflows into Lake Turkana.",Mongabay,https://news.mongabay.com/2026/05/rising-waters-and-mounting-pressures-collide-on-kenyas-lake-turkana/,Print/Online News,3.5,36,0,Unknown,Active - Flooding Conflict,Ongoing,"Lake Turkana, rising waters, 2020, flooding, Gibe III releases, heavy rainfall, reverse conflict, farms flooded, Mongabay 2026",Yes,0.92,Mongabay directly cited.,,
KEN-TRK-195,KEN-TRK-195,Turkana,Turkana - October 2025 - Loperumoi Sarmach Four Killed,10/1/2025,10/31/2025,"In October 2025, four people were killed in attacks at Loperumoi and Sarmach -” in the same West Pokot-Turkana border corridor documented for the Morita September 2025 attack (KEN-NBI-168). This continued violence in the post-Operation Maliza Uhalifu p",Water-Land,Loperumoi Sarmach October 2025 - Four Killed - Ongoing North Rift Violence,Pokot Militia; Victims (Four); Loperumoi; Sarmach Area; National Police Service,"The compaction summary for this dataset documented that 'October 2025 Loperumoi/Sarmach four killed' was a documented incident in the North Rift, in the same border corridor as the September 2025 Morita attack where two children were killed and a busines",Compaction Summary; Multiple Sources,https://acleddata.com,Conflict Data,1.85,35.55,4,Unknown,Historical - Post-Operation Violence,Ongoing - Conflict Continues,"Loperumoi, Sarmach, October 2025, four killed, West Pokot-Turkana border, post-Maliza Uhalifu, NPR shortage, North Rift ongoing violence",Yes,0.88,Compaction summary and ACLED cited.,,
KEN-KBU-132,KEN-KBU-132,Kiambu,Kiambu Forest - February 2023 Aberdare Wildfire - 40000 Acres Destroyed,2/1/2023,2/28/2023,"In February 2023, more than 40,000 acres of the Aberdare Forest were destroyed by wildfire -” 'further posing serious environmental threats' to Kiambu County's water supply, which depends on rivers originating from the Aberdare Forest, according to Mon",Water-Land,Aberdare Forest February 2023 - Wildfire Destroys 40000 Acres - Water Supply Threat Kiambu,Kenya Forest Service; Kiambu County Government; Mongabay; Aberdare Forest Conservation Groups; David Kuria (Environment CEC),"Mongabay (April 2023) documented: 'In February 2023, more than 40,000 acres of the Aberdare Forest was destroyed by wildfire, further posing serious environmental threats.' Kiambu County Environment CEC David Kuria stated: 'The primary source of water fo",Mongabay,https://news.mongabay.com/2023/04/drying-wetlands-and-drought-threaten-water-supplies-in-kenyas-kiambu-county/,Print/Online News,-0.45,36.74,0,300000+,Environmental Emergency - Fire,Ongoing - Catchment Damaged,"Aberdare Forest, wildfire, February 2023, 40000 acres destroyed, Kiambu water supply, rivers dried, David Kuria, Mongabay, three simultaneous threats",Yes,0.95,Mongabay directly cited.,,
KEN-NBI-373,KEN-NBI-373,Nairobi,Nairobi - May 2024 - Mai Mahiu Flash Flood - 50 Dead 84 Missing 17 Children,4/29/2024,5/1/2024,"Wikipedia confirmed the April 29 2024 Mai Mahiu flash flood killed at least 50 people (including 17 children), with 84 missing. Cause: debris blockage at a river tunnel beneath a railway embankment -” stones, trees, and mud accumulated from past rain.",Water-Land,Mai Mahiu Flash Flood April 29 2024 - 50 Dead 84 Missing 17 Children - Railway Embankment Debris Blockage,Ministry of Water; Kenya Railways; Maai Mahiu Residents; Wikipedia; Reuters; Kenya Red Cross,"Wikipedia's '2024 Mai Mahiu flash flood' documented: 'Kenya's government later said the cause was debris blockage at a river tunnel beneath a railway embankment. The debris consisted of stones, trees and mud accumulated from past rain. Officials clarifie",Wikipedia; Reuters,https://en.wikipedia.org/wiki/2024_Mai_Mahiu_flash_flood,Wikipedia,-1.033,36.5833,50,2000+,Historical - Flash Flood Event,Resolved (Historical),"Mai Mahiu, April 29 2024, 50 dead, 84 missing, 17 children, railway embankment debris, river tunnel blockage, Great Rift Valley, infrastructure flood risk",Yes,0.97,Wikipedia directly cited.,,
KEN-KBU-149,KEN-KBU-149,Kiambu,Thika East Kandara - Del Monte Kenya - 99-Year Lease Row - 8000 Acres - 2015-2023,1/1/2015,8/20/2023,"A decade-long conflict over renewal of Del Monte Kenya Limited's 99-year lease on approximately 8,000-22,500 acres of Kiambu/Murang'a land -” pitting Del Monte against Kandara residents (historical injustice claimants), elected leaders, and the NLC. Go",Land,Del Monte Kenya 8000-Acre Lease Renewal Row - Kandara Residents Association - NLC March 2019 Gazette - 7000 Acres Parliament,Del Monte Kenya Limited (Fresh Del Monte subsidiary); Kiambu County Government (Governor Waititu); Kandara Residents Association (5000 squatters); Murang'a County; NLC; MP Patrick Wainaina (Thika); Senator Kimani Wamatangi; Parliamentary Lands Committee;,"Fruitnet (September 2015) documented: 'The governments of Murang'a and Kiambu continue to frustrate Del Monte Kenya's efforts to renew the lease on 9,000ha set to expire. Del Monte Kenya has sued the government of Murang'a County after authorities declin",Daily Nation; The Star; Standard Media; Fruitnet,https://nation.africa/kenya/news/dispute-over-renewal-of-land-lease-to-del-monte-201308,Print/Online News; Government,-1.15,37.1,0,5000+,Lease Renewed August 2022 - Disputes Ongoing,Active - NLC Review Ongoing,"Del Monte, 8000 acres, 99-year lease, Kandara Residents Association, Waititu MoU, 7000 acres Parliament, NLC March 2019, 70-30 ratio, Murang'a Kiambu, Senator Wamatangi",Yes,0.98,"Daily Nation, The Star, Standard Media, Fruitnet directly cited.",,
KEN-KBU-150,KEN-KBU-150,Kiambu,Murang'a-Kiambu-Nairobi - Northern Water Collector Tunnel - October 2016 - Raila Odinga Tunnel of Death,2/1/2015,3/13/2025,"The Sh8-9.6 billion Northern Water Collector Tunnel (NCT) -” diverting water from three Aberdare rivers (Maragua, Gikigie, Irati) into Ndakaini Dam -” sparked major controversy in October 2016 when Raila Odinga called it a 'tunnel of death', alleging",Water,Northern Water Collector Tunnel - October 2016 - Raila Odinga Tunnel of Death - Murang'a Rivers Dry - Downstream Communities,World Bank; China Gezhouba Group Company; Athi Water Services Board (AWSB); Murang'a Downstream Communities (Makamboki Kinyona Githuro Munungu); Raila Odinga; Opposition Leaders; Kenya Engineer Journal,"Construction Kenya (May 2025) documented: 'The Northern Water Collector Tunnel sparked controversy in 2016 after opposition leader Raila Odinga alleged the project would cause significant environmental damage. Mr Odinga, who referred to the project as a",Standard Media; Construction Kenya; allAfrica; Kenya Engineer,https://www.standardmedia.co.ke/article/2000219866/northern-collector-experts-say-impact-on-rivers-will-be-negligible,Print/Online News; Academic,-0.7,36.85,0,Unknown,Project Operational - Community Disputes Ongoing,Active - Structural,"Northern Water Collector Tunnel, October 2016, Raila tunnel of death, Murang'a downstream, seven counties desert, Aberdare rivers diverted, Ndakaini Dam, World Bank Category A",Yes,0.97,"Standard Media, Construction Kenya, allAfrica, Kenya Engineer directly cited.",,
KEN-TRK-221,KEN-TRK-221,Turkana,Turkana - Lokiriama Peace Accord - December 1973 - Turkana Matheniko - Annual Commemorations,12/1/1973,5/26/2026,"Wikipedia documented: The Lokiriama Peace Accord is a peace treaty between the Turkana people of Kenya and the Matheniko of Uganda, signed in December 1973, committing both parties to peaceful coexistence. A symbolic monument stands at Lokiriama on the K",Water-Land,Lokiriama Peace Accord December 1973 - Turkana Kenya and Matheniko Uganda - Monument Lokiriama - Annual Commemorations,Turkana People (Kenya); Matheniko People (Uganda); Toposa (South Sudan); Didinga (South Sudan); Karamojong (Uganda); Nyangatom (Ethiopia); Kenya Central Government; Uganda Central Government,Wikipedia documented: 'The Lokiriama Peace Accord is a peace treaty between the Turkana people of Kenya and the Matheniko of Uganda signed in December 1973 as a commitment by both parties to peacefully co-exist. The accord derives its name from Lokiriama,Wikipedia,https://en.wikipedia.org/wiki/Lokiriama_Peace_Accord,Wikipedia,2.5,34.8,0,Unknown,Active - Annual Commemorations,Ongoing - Peace Architecture,"Lokiriama Peace Accord, December 1973, Turkana, Matheniko, Uganda, monument, annual commemorations, Toposa, Didinga, Karamojong, Nyangatom, five nations",Yes,0.97,Wikipedia directly cited.,,
KEN-KBU-001,KEN-KBU-001,Kiambu,Thika - Blue Post Area,1/1/2008,12/31/2018,The Blue Post Hotel at the junction of Chania and Thika Rivers in Thika was involved in a long-running dispute over its use and encroachment on the riparian reserve of both rivers. WRMA and NEMA investigated multiple complaints.,Water-Land,Riparian Encroachment - Tourism Development,Blue Post Hotel; Thika River Riparian Landowners; WRMA; NEMA; Thika Town Residents,"The Blue Post Hotel, one of Thika's oldest tourist establishments, sits at the confluence of the Chania and Thika Rivers at the famous Fourteen Falls area. The hotel has been the subject of multiple complaints about encroachment on the riparian reserves",NEMA; WRMA; Nation Media,https://nema.go.ke,Regulatory,-1.033,37.083,0,0,Administrative Dispute,Partially Resolved,"Blue Post Hotel, Thika River, Chania River, riparian, water abstraction, NEMA, WRMA, encroachment",Yes,0.73,Referenced in regional water management reports.,,
KEN-NBI-427,KEN-NBI-427,Nairobi,Nairobi - 2026 Wikipedia - Floods April 25 2026 - Mwea Kirinyaga - Farms Livestock Submerged,4/25/2026,4/25/2026,"Wikipedia documented that on the night of April 25 2026, flooding struck Mwea Constituency in Kirinyaga County -” leaving villagers homeless, submerging farms, and killing or sweeping away goats and chickens. One villager: 'We have lost everything.'",Water-Land,2026 Kenya Floods - April 25 2026 - Mwea Kirinyaga Villagers Homeless - Farms Submerged Livestock Lost - Ongoing Season,Mwea West Constituency Residents; Kirinyaga County; Kenya National Police Service; Wikipedia; Villagers,"Wikipedia's '2026 Kenya floods' documented: 'On the night of 25 April, flooding occurred in parts of Mwea Constituency, Kirinyaga County leaving villagers homeless. Farms were submerged in water and livestock like goats and chickens were killed or carrie",Wikipedia,https://en.wikipedia.org/wiki/2026_Kenya_floods,Wikipedia,-0.65,37.366,0,Unknown,Historical - Flood Event,Resolved (Historical),"Mwea, Kirinyaga, April 25 2026, villagers homeless, farms submerged, goats chickens killed, we have lost everything, 2026 flood season extension",Yes,0.96,Wikipedia directly cited.,,
